id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34136284,2705385,629,0.001,"","","","","","",""
34136278,2705385,619,0.013,"","","","","","",""
34136270,2705385,609,0.034,"","","","","","",""
34136232,2705385,269,4.81,"","","","","","",""
34136239,2705385,307,38,"","","","","","",""
34136235,2705385,303,0,"","","","","","",""
34136285,2705385,630,0,"","","","","","",""
34136243,2705385,319,31,"","","","","","",""
34136263,2705385,435,0,"","","","","","",""
34136276,2705385,617,0.694,"","","","","","",""
34136254,2705385,405,0.138,"","","","","","",""
34136268,2705385,607,0.067,"","","","","","",""
34136288,2705385,646,0.108,"","","","","","",""
34136281,2705385,626,0.047,"","","","","","",""
34136256,2705385,415,0.061,"","","","","","",""
34136238,2705385,306,150,"","","","","","",""
34136259,2705385,421,17.8,"","","","","","",""
34136258,2705385,418,0.54,"","","","","","",""
34136241,2705385,312,0.001,"","","","","","",""
34136249,2705385,334,0,"","","","","","",""
34136228,2705385,221,0,"","","","","","",""
34136229,2705385,255,88.1,"","","","","","",""
34136274,2705385,613,0.857,"","","","","","",""
34136227,2705385,208,61,"","","","","","",""
34136273,2705385,612,0.303,"","","","","","",""
34136231,2705385,263,0,"","","","","","",""
34136266,2705385,601,12,"","","","","","",""
34136297,2705386,269,4.89,"","","","","","",""
34136308,2705386,319,83,"","","","","","",""
34136353,2705386,646,0.058,"","","","","","",""
34136304,2705386,307,39,"","","","","","",""
34136294,2705386,255,89.1,"","","","","","",""
34136340,2705386,614,0.184,"","","","","","",""
34136319,2705386,405,0.137,"","","","","","",""
34136345,2705386,621,0,"","","","","","",""
34136331,2705386,601,8,"","","","","","",""
34136334,2705386,608,0.032,"","","","","","",""
34136316,2705386,338,0,"","","","","","",""
34136305,2705386,309,0.43,"","","","","","",""
34136317,2705386,401,0.2,"","","","","","",""
34136320,2705386,406,0.112,"","","","","","",""
34136295,2705386,262,0,"","","","","","",""
34136289,2705386,203,3.36,"","","","","","",""
34136313,2705386,328,1.1,"","","","","","",""
34136346,2705386,626,0.029,"","","","","","",""
34136309,2705386,320,83,"","","","","","",""
34136315,2705386,337,0,"","","","","","",""
34136322,2705386,417,2,"","","","","","",""
34136348,2705386,628,0.002,"","","","","","",""
34136342,2705386,618,0.061,"","","","","","",""
34136327,2705386,432,2,"","","","","","",""
34136299,2705386,301,126,"","","","","","",""
34136324,2705386,421,18.2,"","","","","","",""
34136307,2705386,317,1.8,"","","","","","",""
34136337,2705386,611,0.058,"","","","","","",""
34136292,2705386,208,50,"","","","","","",""
34136323,2705386,418,0.55,"","","","","","",""
34136335,2705386,609,0.021,"","","","","","",""
34136291,2705386,205,4.9,"","","","","","",""
34136347,2705386,627,0,"","","","","","",""
34136318,2705386,404,0.059,"","","","","","",""
34136321,2705386,415,0.061,"","","","","","",""
34136329,2705386,573,0,"","","","","","",""
34136303,2705386,306,159,"","","","","","",""
34136298,2705386,291,0,"","","","","","",""
34136339,2705386,613,0.512,"","","","","","",""
34136301,2705386,304,12,"","","","","","",""
34136344,2705386,620,0.003,"","","","","","",""
34136351,2705386,631,0.001,"","","","","","",""
34136336,2705386,610,0.049,"","","","","","",""
34136349,2705386,629,0,"","","","","","",""
34136330,2705386,578,0,"","","","","","",""
34136350,2705386,630,0,"","","","","","",""
34136300,2705386,303,0,"","","","","","",""
34136326,2705386,431,0,"","","","","","",""
34136293,2705386,221,0,"","","","","","",""
34136296,2705386,263,0,"","","","","","",""
34136352,2705386,645,0.4,"","","","","","",""
34136341,2705386,617,0.41,"","","","","","",""
34136311,2705386,322,0,"","","","","","",""
34136328,2705386,435,2,"","","","","","",""
34136290,2705386,204,1.9,"","","","","","",""
34136338,2705386,612,0.181,"","","","","","",""
34136312,2705386,323,0.03,"","","","","","",""
34136302,2705386,305,103,"","","","","","",""
34136314,2705386,334,0,"","","","","","",""
34136310,2705386,321,3,"","","","","","",""
34136325,2705386,430,0.2,"","","","","","",""
34136333,2705386,607,0.041,"","","","","","",""
34136332,2705386,606,1.11,"","","","","","",""
34136306,2705386,312,0.001,"","","","","","",""
34136343,2705386,619,0.007,"","","","","","",""
34136374,2705387,320,58,"","","","","","",""
34136409,2705387,620,0.001,"","","","","","",""
34136418,2705387,646,0.032,"","","","","","",""
34136390,2705387,430,0.1,"","","","","","",""
34136415,2705387,630,0,"","","","","","",""
34136397,2705387,606,0.568,"","","","","","",""
34136378,2705387,328,1.1,"","","","","","",""
34136404,2705387,613,0.265,"","","","","","",""
34136408,2705387,619,0.004,"","","","","","",""
34136356,2705387,205,5.18,"","","","","","",""
34136395,2705387,578,0,"","","","","","",""
34136388,2705387,418,0.61,"","","","","","",""
34136411,2705387,626,0.014,"","","","","","",""
34136366,2705387,304,12,"","","","","","",""
34136355,2705387,204,0.95,"","","","","","",""
34136367,2705387,305,103,"","","","","","",""
34136414,2705387,629,0,"","","","","","",""
34136401,2705387,610,0.023,"","","","","","",""
34136357,2705387,208,43,"","","","","","",""
34136369,2705387,307,39,"","","","","","",""
34136362,2705387,269,4.96,"","","","","","",""
34136358,2705387,221,0,"","","","","","",""
34136398,2705387,607,0.022,"","","","","","",""
34136379,2705387,334,0,"","","","","","",""
34136354,2705387,203,3.38,"","","","","","",""
34136382,2705387,401,0,"","","","","","",""
34136400,2705387,609,0.011,"","","","","","",""
34136394,2705387,573,0,"","","","","","",""
34136391,2705387,431,0,"","","","","","",""
34136384,2705387,405,0.14,"","","","","","",""
34136360,2705387,262,0,"","","","","","",""
34136407,2705387,618,0.033,"","","","","","",""
34136370,2705387,309,0.43,"","","","","","",""
34136405,2705387,614,0.096,"","","","","","",""
34136389,2705387,421,17.4,"","","","","","",""
34136380,2705387,337,0,"","","","","","",""
34136402,2705387,611,0.026,"","","","","","",""
34136387,2705387,417,2,"","","","","","",""
34136413,2705387,628,0.001,"","","","","","",""
34136377,2705387,323,0.02,"","","","","","",""
34136393,2705387,435,2,"","","","","","",""
34136372,2705387,317,2.1,"","","","","","",""
34136363,2705387,291,0,"","","","","","",""
34136412,2705387,627,0,"","","","","","",""
34136403,2705387,612,0.093,"","","","","","",""
34136392,2705387,432,2,"","","","","","",""
34136383,2705387,404,0.057,"","","","","","",""
34136365,2705387,303,0,"","","","","","",""
34136381,2705387,338,0,"","","","","","",""
34136406,2705387,617,0.214,"","","","","","",""
34136364,2705387,301,126,"","","","","","",""
34136361,2705387,263,0,"","","","","","",""
34136375,2705387,321,1,"","","","","","",""
34136417,2705387,645,0.21,"","","","","","",""
34136399,2705387,608,0.015,"","","","","","",""
34136416,2705387,631,0,"","","","","","",""
34136410,2705387,621,0,"","","","","","",""
34136368,2705387,306,159,"","","","","","",""
34136359,2705387,255,89.7,"","","","","","",""
34136376,2705387,322,0,"","","","","","",""
34136373,2705387,319,58,"","","","","","",""
34136371,2705387,312,0.001,"","","","","","",""
34136385,2705387,406,0.113,"","","","","","",""
34136386,2705387,415,0.06,"","","","","","",""
34136396,2705387,601,5,"","","","","","",""
34136440,2705388,321,2,"","","","","","",""
34136439,2705388,320,64,"","","","","","",""
34136446,2705388,338,0,"","","","","","",""
34136442,2705388,323,0,"","","","","","",""
34136477,2705388,627,0,"","","","","","",""
34136436,2705388,312,0.002,"","","","","","",""
34136467,2705388,611,0.002,"","","","","","",""
